"index","time_t","moduleID_x","LOCnorm_y","difficulty_m"
1,0.0731912365803653,0,0.745098039215686,3.2
2,0.302701039622036,0,0.223529411764706,3.3
3,1.83443042452366,2,0.968627450980392,4.5
4,2.48845279336137,0,0.968627450980392,3.5
5,2.77705324255769,1,0.12156862745098,3
6,3.2913368413203,3,0.494117647058824,3.9
7,3.36182389169193,2,0.835294117647059,3.3
8,3.37082116051162,3,0.611764705882353,4.1
9,3.49854710879116,2,0.313725490196078,3.9
10,4.12665546964773,2,0.262745098039216,3.2
11,4.15978517470662,2,0.349019607843137,3.4
12,4.5430652267352,0,0.564705882352941,4.5
13,4.78832257403199,2,0.2,3.7
14,5.03480211851105,3,0.584313725490196,3.4
15,5.03957318846099,1,0.72156862745098,3.8
16,5.2230671776884,2,0.43921568627451,5.1
17,5.23807403281623,3,0.564705882352941,3.6
18,5.27698510066024,0,0.823529411764706,3.2
19,5.35709302726603,1,0.752941176470588,4.6
20,5.47962749627236,0,0.717647058823529,3.6
21,5.84668773894211,2,0.188235294117647,4.2
22,5.88581962335021,0,0.345098039215686,3.2
23,5.90102044659944,1,0.301960784313725,3.1
24,6.98895888732495,2,0.376470588235294,3.6
25,7.66722972889439,0,0.447058823529412,3.7
26,8.25308704406698,0,0.768627450980392,3
27,8.83143561726851,2,0.12156862745098,3.2
28,9.88538796131809,0,0.0392156862745098,3.1
29,10.0477700489471,0,0.282352941176471,3.5
30,10.2553013156763,3,0.854901960784314,4.6
31,10.2555034568764,3,0.305882352941176,3.7
32,10.4467407908949,0,0.866666666666667,3.2
33,10.584668103576,2,0,3.3
34,10.7830149174395,3,0.533333333333333,3.1
35,12.141931729522,0,0.792156862745098,5
36,12.1490291052344,0,0.745098039215686,3.6
37,12.5129679076906,0,0.96078431372549,3.4
38,12.5136932949991,0,0.866666666666667,3.6
39,12.5805878266163,0,0.105882352941176,3.6
40,12.6839681330626,0,0.125490196078431,3.2
41,12.6950383438025,0,0.603921568627451,3.3
42,13.0148836445123,3,0.705882352941177,3.5
43,13.0772793052668,1,0.984313725490196,3.6
44,13.1124504060925,0,0.431372549019608,3.5
45,13.1232941371287,2,0.662745098039216,3.4
46,13.4569221104847,0,0.113725490196078,3
47,15.8275405848335,1,0.458823529411765,4.4
48,15.8867198952459,2,0.498039215686275,3.8
49,15.9517550945981,0,0.568627450980392,3.7
50,16.0288224069682,3,0.964705882352941,4
51,16.2216907948868,1,0.603921568627451,4
